DEVELOPER_ID,NAME
827,Amplecti Chao
828,Amrita Studio
829,Amund Farifteh
830,Amusitronix
831,Amy Li
832,AnRaEl
833,Ana Beltran
834,Analog Casual Studios
835,Anamik Majumdar
836,Anarchy Enterprises
837,Anarchy Interactive
838,Anarchy Softworks LLC
839,Anarkica Games
840,Anarkis Gaming
841,Anarquico
842,Anarteam
843,Anate Studio
844,Anatola Howard
845,Anatoliy Loginovskikh
846,Anatoly Efremov
847,Anatoly Konstantinov
848,Anawiki Games
849,Anazz
850,Anchora Games
851,Ancient Games DS
852,Ancient War Studios
853,AncientSky Games
854,AndAll Interactive
855,Andeolab
856,AnderShi
857,Anders Schou
858,Andiks LTD.
859,Andrade Games
860,Andrea Hochstein
861,Andrea Mancuso
862,Andreas Ammer
863,Andreas Aust
864,Andreas Britten
865,Andreas Cavazzini
866,Andreas Diktyopoulos
867,Andreas Hager Gaming
868,Andreas Stieger
869,Andrei Romanov
870,Andreil Game
871,Andres Garcia
872,Andrettin
873,"Andrew ""Versus"" Larionov"
874,Andrew Augustine
875,Andrew Bates
876,Andrew C. Wang
877,Andrew Chuprina
878,Andrew Drumov
879,Andrew French
880,Andrew Gilmour
881,Andrew Gwinner
882,Andrew Higgins
883,Andrew Luck
884,Andrew Moran
885,Andrew Morrish
886,Andrew Ogunnaike
887,Andrew Oudot
888,Andrew Rodenhiser
889,Andrew Rowe
890,Andrew Ryan Henke
891,Andrew Stout
892,Andrew Thomas
893,Andrew Willman
894,Andrew and Christopher Kirmse
895,"AndrewDrumov, Sanke Berdochan"
896,Andrewus
897,Andrey Bely
898,Andrey Haritonov
899,Andrey Kashin
900,"Andrey Larionov, Ramin Budagov"
901,Andrey Malyarov
902,Andrey Omelchenko
903,Andrey Rumak
904,Andrey Scanarri (Scanarri)
905,Andrii Vintsevych
906,Androzz
907,André Bertaglia
908,Andwhy
909,Andy Buck
910,Andy Campbell
911,Andy Howard Games
912,Andy Imm
913,Andy Jurko
914,Andy Mark
915,Andy Montgomery
916,Andy Sharpe
917,Andy Sztark
918,Andy Wallace
919,Andy Zelonis
920,Andymente
921,Anea_Duo_Dev
922,Angel Carriola
923,Angel D
924,Angel Iliev Hrisimov
925,Angel T
926,Angels Blue Digital Entertainment
927,Angry Angel Games
928,Angry Array
929,Angry Cat Studios
930,Angry Demon Studio
931,"Angry Hangar Games, LLC"
932,Angry Mob Games
933,Angry Rabbit Studios
934,Angry games
935,AngryAngelGames
936,Anguis Game Studio
937,Angus Seung
938,Anima
939,Anima Locus
940,Anima Project
941,Animal Mouth
942,Animate Objects
943,Animation Arts
944,Animation Arts Creative GmbH
945,Animation Arts GmbH
946,Animation Catalyst
947,Animation F/X
948,Anime Games
949,Anime Hearts
950,Anime fashion show
951,Anime squad
952,AnimeBomb
953,Animootor
954,Animu Game
955,Animus Interactive Inc
956,Animvs Game Studio
957,Animyst Games
958,Anino Games
959,Aniode
960,Anisoptera Games
961,Ankake Spa
962,Ankama Games
963,Ankama Studio
964,Ankur Rathore
965,Annaliese Bevan
966,Anne Mönkkönen
967,Anoman Studio
968,Anonymous Games
969,Anoop Nihar Srinivas
970,Another Circus
971,Another Noname
972,Another Planet
973,Another Reality
974,Another Story
975,Another Yeti
976,Another world
977,Anothink
978,Anrick
979,Anshar Studios
980,Ansimuz Games
981,Ant Workshop Ltd
982,Ant.Karlov
983,Antab Studio
984,Antagonist
985,Antanas Marcelionis
986,Antarctic Games
987,"Antaria, LLC"
988,Antarsoft
989,Anteater Games
990,Anthony Acosta
991,Anthony Case
992,Anthony KOZAK
993,Anthony Rotondo
994,Anthony Septim
995,Anthracite Games
996,Anti Crunch Studios
997,Anti Gravity Game Studios
998,Anti-Ded GameDev
999,AntiAnti
1000,Anticto
1001,Antimatter Games
1002,Antiproto
1003,Antiquity Studio
1004,Antispace Studios
1005,Antizero company
1006,Antler Interactive
1007,Antoine Bilodeau
1008,Antoine Hésèque
1009,Antoine Rigitano
1010,Anton Gerdelan
1011,Anton Riot and Co
1012,Anton Shatalov
1013,Antonio Latronico
1014,Antonio Renna
1015,Antropi
1016,Antti Vaihia
1017,Antuan Johnson
1018,Anuman Interactive
1019,Anunnaki s.r.l.
1020,Anvate Games
1021,"Anvil Drop, LLC"
1022,Anvil Game Studios
1023,Anvil-Soft
1024,Anxious Neck Games
1025,Aoga Tech
1026,Aoineko
